Institución_De_Educación_Superior_(Ies),Programa_Académico,Modalidad,Matriculados
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN CIENCIAS -MATEMATICAS,Presencial,3
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN CIENCIAS -MATEMATICAS,Presencial,5
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN CIENCIAS BIOTECNOLOGÍA,Presencial,12
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN CIENCIAS BIOTECNOLOGÍA,Presencial,16
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN CIENCIAS BIOTECNOLOGÍA,Presencial,26
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN CIENCIAS BIOTECNOLOGÍA,Presencial,26
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN CIENCIAS - GEOMORFOLOGÍA Y SUELOS,Presencial,4
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN CIENCIAS - GEOMORFOLOGÍA Y SUELOS,Presencial,3
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN CIENCIAS - GEOMORFOLOGÍA Y SUELOS,Presencial,4
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN CIENCIAS - GEOMORFOLOGÍA Y SUELOS,Presencial,2
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN CIENCIAS -ESTADISTICA,Presencial,8
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN CIENCIAS -ESTADISTICA,Presencial,5
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN CIENCIAS -ESTADISTICA,Presencial,2
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN CIENCIAS -ESTADISTICA,Presencial,1
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN CIENCIAS - MATEMÁTICA APLICADA,Presencial,12
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN CIENCIAS - MATEMÁTICA APLICADA,Presencial,13
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN CIENCIAS - MATEMÁTICA APLICADA,Presencial,3
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN CIENCIAS - MATEMÁTICA APLICADA,Presencial,2
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN INGENIERÍA - ANALÍTICA,Presencial,53
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN INGENIERÍA - ANALÍTICA,Presencial,62
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN INGENIERÍA - ANALÍTICA,Presencial,15
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN INGENIERÍA - ANALÍTICA,Presencial,23
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN INGENIERÍA FÍSICA,Presencial,5
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN INGENIERÍA FÍSICA,Presencial,5
UNIVERSIDAD NACIONAL DE COLOMBIA,MAESTRÍA EN INGENIERÍA FÍSICA,Presencial,1
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN ESTÉTICA,Presencial,1
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN ESTÉTICA,Presencial,2
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN ESTÉTICA,Presencial,1
UNIVERSIDAD NACIONAL DE COLOMBIA,DOCTORADO EN ESTÉTICA,Presencial,1
UNIVERSIDAD NACIONAL DE COLOMBIA,ESPECIALIZACIÓN EN SISTEMAS DE INFORMACIÓN GEOGRÁFICA,Presencial,11
UNIVERSIDAD NACIONAL DE COLOMBIA,ESPECIALIZACIÓN EN SISTEMAS DE INFORMACIÓN GEOGRÁFICA,Presencial,9
UNIVERSIDAD NACIONAL DE COLOMBIA,ESPECIALIZACIÓN EN SISTEMAS DE INFORMACIÓN GEOGRÁFICA,Presencial,13
UNIVERSIDAD NACIONAL DE COLOMBIA,ESPECIALIZACIÓN EN SISTEMAS DE INFORMACIÓN GEOGRÁFICA,Presencial,13
